COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
ALB,,ALL,1990,85.59
ALB,,ALL,1991,62.4
ALB,,ALL,1992,63.45
ALB,,ALL,1993,67.4
ALB,,ALL,1994,68.49
ALB,,ALL,1995,73.78
ALB,,ALL,1996,83.31
ALB,,ALL,1997,71.32
ALB,,ALL,1998,83.89
ALB,,ALL,1999,81.93
ALB,,ALL,2000,102.89
ALB,,ALL,2001,100.28
ALB,,ALL,2002,95.78
ALB,,ALL,2003,99.91
ALB,,ALL,2004,103.35
ALB,,ALL,2005,107.92
ALB,,ALL,2007,105.45
ALB,,ALL,2008,117.67
ALB,,ALL,2009,110.13
ALB,,ALL,2010,121.04
ALB,,ALL,2011,119.32
ALB,,ALL,2012,117.09
ALB,,ALL,2013,135.88
ALB,,ALL,2015,189.4
ARM,,ALL,1980,114.31
ARM,,ALL,1981,129.06
ARM,,ALL,1982,131.74
ARM,,ALL,1983,134.73
ARM,,ALL,1984,141.63
ARM,,ALL,1985,145.75
ARM,,ALL,1986,149.72
ARM,,ALL,1987,155.01
ARM,,ALL,1988,157.9
ARM,,ALL,1989,159.4
ARM,,ALL,1990,154.02
ARM,,ALL,1991,135.8
ARM,,ALL,1992,121.07
ARM,,ALL,1993,132.46
ARM,,ALL,1994,134.51
ARM,,ALL,1995,144.31
ARM,,ALL,1996,146.42
ARM,,ALL,1997,145.07
ARM,,ALL,1998,158.88
ARM,,ALL,1999,167.54
ARM,,ALL,2000,167.75
ARM,,ALL,2001,176.22
ARM,,ALL,2002,178.56
ARM,,ALL,2003,185.32
ARM,,ALL,2004,192.1
ARM,,ALL,2005,198.79
ARM,,ALL,2006,221.76
ARM,,ALL,2007,226.06
ARM,,ALL,2008,226.84
ARM,,ALL,2009,236.06
ARM,,ALL,2010,233.2
ARM,,ALL,2011,240.42
ARM,,ALL,2012,260.47
ARM,,ALL,2013,261.78
ARM,,ALL,2014,278.26
ARM,,ALL,2015,277.43
ARM,,ALL,2016,276.8
ARM,,ALL,2017,281.56
ARM,,ALL,2019,266.35
AUT,,ALL,1983,388.05
AUT,,ALL,1984,392.4
AUT,,ALL,1985,386.83
AUT,,ALL,1986,380.86
AUT,,ALL,1987,390.95
AUT,,ALL,1988,414.5
AUT,,ALL,1989,418.3
AUT,,ALL,1990,407.2
AUT,,ALL,1991,402.29
AUT,,ALL,1992,401.58
AUT,,ALL,1993,419.5
AUT,,ALL,1994,424.53
AUT,,ALL,1995,433.38
AUT,,ALL,1996,443.84
AUT,,ALL,1997,458.26
AUT,,ALL,1998,458.97
AUT,,ALL,1999,448.72
AUT,,ALL,2000,469.02
AUT,,ALL,2001,466.3
AUT,,ALL,2002,466.28
AUT,,ALL,2003,476.64
AUT,,ALL,2004,480.47
AUT,,ALL,2005,465.5
AUT,,ALL,2006,477.23
AUT,,ALL,2007,478.07
AUT,,ALL,2008,473.95
AUT,,ALL,2009,469.44
AUT,,ALL,2010,474.6
AUT,,ALL,2011,474.79
AUT,,ALL,2012,479.17
AUT,,ALL,2013,471.49
AUT,,ALL,2014,483.61
AUT,,ALL,2015,486.33
AUT,,ALL,2016,492.1
AUT,,ALL,2017,483.23
AUT,,ALL,2018,480.03
AZE,,ALL,1990,132.96
AZE,,ALL,1991,108.07
AZE,,ALL,1992,89.26
AZE,,ALL,1993,71.3
AZE,,ALL,1994,71.41
AZE,,ALL,1995,83.59
AZE,,ALL,1996,73.42
AZE,,ALL,1997,69.7
AZE,,ALL,1998,61.14
AZE,,ALL,1999,58.35
AZE,,ALL,2000,59.69
AZE,,ALL,2001,62.7
AZE,,ALL,2002,64.89
AZE,,ALL,2003,67.9
AZE,,ALL,2004,73.54
AZE,,ALL,2005,74.8
AZE,,ALL,2006,78.5
AZE,,ALL,2007,81.89
AZE,,ALL,2008,83.47
AZE,,ALL,2009,85.54
AZE,,ALL,2010,89.67
AZE,,ALL,2011,92.65
AZE,,ALL,2012,92.39
AZE,,ALL,2013,96.25
AZE,,ALL,2014,99.1
AZE,,ALL,2015,105.53
AZE,,ALL,2016,109.51
AZE,,ALL,2017,113.58
BEL,,ALL,1990,322
BEL,,ALL,1991,333.04
BEL,,ALL,1992,319.49
BEL,,ALL,1993,324.7
BEL,,ALL,1994,304.26
BEL,,ALL,1995,304.12
BEL,,ALL,1996,330.12
BEL,,ALL,1997,373.23
BEL,,ALL,1998,401.81
BEL,,ALL,1999,439.23
BEL,,ALL,2000,460.51
BEL,,ALL,2001,467.5
BEL,,ALL,2002,476.23
BEL,,ALL,2003,499.98
BEL,,ALL,2004,582.9
BEL,,ALL,2005,573.95
BEL,,ALL,2006,576.53
BEL,,ALL,2007,559.77
BEL,,ALL,2008,560.19
BEL,,ALL,2009,561.03
BEL,,ALL,2010,571.78
BEL,,ALL,2011,584.52
BEL,,ALL,2012,586.77
BEL,,ALL,2013,585.83
BEL,,ALL,2014,604.12
BEL,,ALL,2015,595.49
BEL,,ALL,2016,599.86
BEL,,ALL,2017,602.8
BEL,,ALL,2018,616.34
BIH,,ALL,1986,63.22
BIH,,ALL,1987,56.94
BIH,,ALL,1988,61.55
BIH,,ALL,1989,79.86
BIH,,ALL,2009,251.19
BIH,,ALL,2010,202.08
BIH,,ALL,2011,215.48
BIH,,ALL,2012,232.54
BIH,,ALL,2013,230.18
BIH,,ALL,2014,213.36
BIH,,ALL,2015,273.01
BIH,,ALL,2016,126.67
BIH,,ALL,2017,194.42
BIH,,ALL,2018,154.94
BIH,,ALL,2019,154.94
BLR,,ALL,1993,284.02
BLR,,ALL,1994,294.42
BLR,,ALL,1995,298.59
BLR,,ALL,1996,314.92
BLR,,ALL,1997,319.1
BLR,,ALL,1998,328.94
BLR,,ALL,1999,330.36
BLR,,ALL,2000,328.7
BLR,,ALL,2001,338.81
BLR,,ALL,2002,346.09
BLR,,ALL,2003,351.87
BLR,,ALL,2004,376.77
BLR,,ALL,2005,367.18
BLR,,ALL,2006,374.44
BLR,,ALL,2007,402.01
BLR,,ALL,2008,411.09
BLR,,ALL,2009,412.81
BLR,,ALL,2010,442.9
BLR,,ALL,2011,446.69
BLR,,ALL,2012,456.81
BLR,,ALL,2013,464.93
BLR,,ALL,2014,483
BLR,,ALL,2015,513.05
BLR,,ALL,2016,522.95
BLR,,ALL,2017,537.78
BLR,,ALL,2018,554.48
BLR,,ALL,2019,571.55
BGR,,ALL,1980,232.69
BGR,,ALL,1981,235.12
BGR,,ALL,1982,238.36
BGR,,ALL,1983,238.36
BGR,,ALL,1984,243.03
BGR,,ALL,1985,233.08
BGR,,ALL,1986,251.22
BGR,,ALL,1987,253.51
BGR,,ALL,1988,258.72
BGR,,ALL,1989,254.41
BGR,,ALL,1990,245.12
BGR,,ALL,1991,250.02
BGR,,ALL,1992,267.65
BGR,,ALL,1993,272.12
BGR,,ALL,1994,291.2
BGR,,ALL,1995,285.1
BGR,,ALL,1996,310.79
BGR,,ALL,1997,290.05
BGR,,ALL,1998,318.95
BGR,,ALL,1999,324.25
BGR,,ALL,2000,320.14
BGR,,ALL,2001,356.25
BGR,,ALL,2002,376.42
BGR,,ALL,2003,376.4
BGR,,ALL,2004,383.17
BGR,,ALL,2005,379.26
BGR,,ALL,2006,393.26
BGR,,ALL,2007,413.93
BGR,,ALL,2008,426.03
