"Incidence of cancer per 100 000, by sex",,,,
COUNTRY,SEX,YEAR,VALUE,Coordinates
Austria,ALL,2014,483.61,"[47.5162, 14.5501]"
Austria,ALL,2015,486.33,
Austria,ALL,2016,492.1,
Austria,ALL,2017,483.23,
Austria,ALL,2018,480.03,
Belgium,ALL,2014,604.12,"[50.5039, 4.4699]"
Belgium,ALL,2015,595.49,
Belgium,ALL,2016,599.86,
Belgium,ALL,2017,602.8,
Belgium,ALL,2018,616.34,
Belarus,ALL,2014,483,"[53.7098, 27.9534]]"
Belarus,ALL,2015,513.05,
Belarus,ALL,2016,522.95,
Belarus,ALL,2017,537.78,
Belarus,ALL,2018,554.48,
Bulgaria,ALL,2014,443.36,"[42.7339, 25.4858]"
Bulgaria,ALL,2015,448.92,
Bulgaria,ALL,2016,437.33,
Bulgaria,ALL,2017,423.47,
Bulgaria,ALL,2018,402.56,
Croatia,ALL,2014,559.75,"[45.1000, 15.2000]"
Croatia,ALL,2015,565.22,
Croatia,ALL,2016,573.66,
Croatia,ALL,2017,611.8,
Croatia,ALL,2018,621.23,
Czechia,ALL,2014,905.73,"[49.8175, 15.4730]"
Czechia,ALL,2015,934.8,
Czechia,ALL,2016,954.12,
Czechia,ALL,2017,944.76,
Czechia,ALL,2018,938.71,
Denmark,ALL,2014,746.04,"[56.2639, 9.5018]"
Denmark,ALL,2015,753.04,
Denmark,ALL,2016,743.72,
Denmark,ALL,2017,742.6,
Denmark,ALL,2018,764.67,
Estonia,ALL,2014,659.09,"[58.5953, 25.0136]"
Estonia,ALL,2015,675.32,
Estonia,ALL,2016,679.78,
Estonia,ALL,2017,672.09,
Estonia,ALL,2018,664.38,
Finland,ALL,2014,596.22,"[61.9241, 25.7482]"
Finland,ALL,2015,613.09,
Finland,ALL,2016,630.22,
Finland,ALL,2017,629.39,
Finland,ALL,2018,622.24,
France,ALL,2014,578.1,"[46.2276, 2.2137]"
France,ALL,2015,558.89,
France,ALL,2016,597.87,
France,ALL,2017,617.92,
France,ALL,2018,590.71,
Georgia,ALL,2014,129.6,"[42.3154, 43.3569]]"
Georgia,ALL,2015,298.2,
Georgia,ALL,2016,287.79,
Georgia,ALL,2017,273.42,
Georgia,ALL,2018,284.47,
Hungary,ALL,2014,978.63,"[47.1625, 19.5033]]"
Hungary,ALL,2015,998.32,
Hungary,ALL,2016,1031.11,
Hungary,ALL,2017,1052.8,
Hungary,ALL,2018,1028.84,
Island,ALL,2014,475.07,"[64.9631, 19.0208]"
Island,ALL,2015,478.82,
Island,ALL,2016,492.5,
Island,ALL,2017,488.35,
Island,ALL,2018,479.42,
Ireland,ALL,2014,460.5,"[53.4129, 8.2439]"
Ireland,ALL,2015,470.75,
Ireland,ALL,2016,480.42,
Ireland,ALL,2017,483.88,
Ireland,ALL,2018,500.11,
Israel,ALL,2014,383.98,"[31.0461, 34.8516]"
Israel,ALL,2015,377.75,
Israel,ALL,2016,377.99,
Israel,ALL,2017,353.1,
Israel,ALL,2018,366.83,
Italy,ALL,2014,578.18,"[41.8719, 12.5674]"
